Date,Open,High,Low,Close,Adj_Close,Volume,Repaired?
2000-01-03,26.0625,26.0625,24.5,24.53125,14.142709732055664,1925600,False
2000-01-04,25.5,25.90625,25.1875,25.5625,14.737236022949219,2649600,False
2000-01-05,26.0,28.1875,25.9375,27.3125,15.746139526367188,3474800,False
2000-01-06,27.3125,27.78125,27.0,27.40625,15.80019760131836,2897000,False
2000-01-07,27.625,28.78125,27.59375,28.125,16.214569091796875,2273400,False
2000-01-10,28.3125,28.625,27.625,27.875,16.070438385009766,2437600,False
2000-01-11,27.75,27.78125,27.3125,27.5,15.854248046875,798400,False
2000-01-12,27.1875,27.28125,26.375,26.5,15.34468936920166,2704800,False
2000-01-13,27.0,27.1875,26.0625,26.5,15.34468936920166,1233000,False
2000-01-14,26.75,27.1875,26.03125,26.6875,15.453259468078613,1270200,False
2000-01-18,25.8125,26.59375,25.75,25.90625,15.000877380371094,1846000,False
2000-01-19,25.625,25.8125,25.0625,25.375,14.69326400756836,1348800,False
2000-01-20,25.25,25.28125,24.34375,24.6640625,14.281595230102539,1827200,False
2000-01-21,24.8125,24.875,24.625,24.6875,14.295174598693848,1740400,False
2000-01-24,24.8125,25.0,22.875,23.21875,13.44468879699707,1681600,False
2000-01-25,23.21875,23.6875,22.6875,23.53125,13.625641822814941,2450000,False
2000-01-26,23.65625,23.90625,22.84375,23.46875,13.58945369720459,2838600,False
2000-01-27,24.46875,24.5,23.40625,23.5,13.607552528381348,2105400,False
2000-01-28,23.625,24.0,23.3125,23.625,13.679936408996582,2294600,False
2000-01-31,23.5625,23.65625,23.0,23.5625,13.64374828338623,808800,False
2000-02-01,23.625,24.21875,23.21875,24.15625,13.987549781799316,1133600,False
2000-02-02,24.5625,24.71875,23.65625,23.75,13.75230884552002,1519800,False
2000-02-03,24.125,24.1875,22.9375,23.125,13.390410423278809,1770400,False
2000-02-04,23.3125,23.625,22.75,22.78125,13.191365242004395,2248000,False
2000-02-07,23.03125,23.0625,21.125,22.25,12.883749961853027,5385800,False
2000-02-08,22.0625,22.3125,21.34375,21.5,12.449461936950684,4143400,False
2000-02-09,21.25,21.25,20.46875,20.875,12.087557792663574,3313800,False
2000-02-10,20.90625,21.625,20.84375,21.09375,12.214223861694336,1207200,False
2000-02-11,21.0625,21.09375,20.71875,20.71875,11.997090339660645,1554000,False
2000-02-14,21.0,21.03125,20.5,20.78125,12.033275604248047,1143000,False
2000-02-15,20.78125,21.0,20.4375,20.65625,11.960890769958496,2330000,False
2000-02-16,21.0,21.15625,20.625,20.78125,12.033275604248047,1300200,False
2000-02-17,20.8125,21.6875,20.71875,21.5625,12.485651016235352,2013000,False
2000-02-18,21.625,21.65625,20.71875,20.9375,12.123748779296875,1899800,False
2000-02-22,21.0,21.75,20.9375,21.5,12.449461936950684,1008000,False
2000-02-23,21.625,21.75,21.28125,21.5625,12.485651016235352,1118400,False
2000-02-24,21.5,21.53125,20.78125,21.125,12.232318878173828,2636400,False
2000-02-25,21.09375,21.71875,21.0625,21.46875,12.431366920471191,991600,False
