Date,Open,High,Low,Close,Adj_Close,Volume,Repaired?
2000-01-03,22.0,22.3125,20.25,20.25,10.281109809875488,3011300,False
2000-01-04,20.0,21.3125,20.0,20.9375,10.630159378051758,3593500,False
2000-01-05,21.25,21.625,20.5,21.0625,10.693625450134277,1721200,False
2000-01-06,21.0,21.75,21.0,21.375,10.852279663085938,1750700,False
2000-01-07,21.75,22.0625,21.1875,21.4375,10.884016990661621,2203200,False
2000-01-10,21.375,21.5,20.5625,20.625,10.471498489379883,1361000,False
2000-01-11,20.5,20.75,19.75,19.9375,10.122451782226562,2236100,False
2000-01-12,20.0,21.25,20.0,21.1875,10.757086753845215,3562400,False
2000-01-13,21.4375,21.4375,20.5625,20.75,10.534965515136719,2871700,False
2000-01-14,20.75,20.9375,20.5,20.5,10.408035278320312,1609300,False
2000-01-18,21.0,21.25,19.75,20.0,10.154184341430664,3763800,False
2000-01-19,20.0625,20.75,20.0,20.6875,10.50323486328125,2270500,False
2000-01-20,20.5,20.6875,20.375,20.5625,10.439764976501465,2321600,False
2000-01-21,20.75,21.1875,20.625,21.0,10.661886215209961,2340600,False
2000-01-24,20.9375,21.0625,19.5625,19.5625,9.932059288024902,1917000,False
2000-01-25,19.5625,19.9375,19.125,19.25,9.773401260375977,2022500,False
2000-01-26,19.4375,20.0625,19.25,20.0625,10.1859130859375,2020300,False
2000-01-27,19.9375,20.0,19.0,19.4375,9.868599891662598,2236300,False
2000-01-28,19.0,19.9375,18.3125,18.875,9.583015441894531,2213200,False
2000-01-31,18.3125,18.875,18.1875,18.5,9.392617225646973,1528600,False
2000-02-01,18.75,18.875,18.375,18.6875,9.487812042236328,737300,False
2000-02-02,18.4375,18.8125,18.1875,18.6875,9.487812042236328,1633700,False
2000-02-03,18.625,18.9375,18.5,18.625,9.456084251403809,1830200,False
2000-02-04,18.75,19.3125,18.375,19.125,9.709936141967773,2012900,False
2000-02-07,19.25,19.5,18.25,18.75,9.51954460144043,1633700,False
2000-02-08,18.3125,18.375,17.875,18.375,9.329154968261719,2110300,False
2000-02-09,17.875,18.5,17.875,18.375,9.329154968261719,1863800,False
2000-02-10,18.0625,18.5,18.0625,18.3125,9.2974271774292,1814500,False
2000-02-11,18.125,18.3125,17.375,17.5,8.884915351867676,1821000,False
2000-02-14,17.75,18.125,17.5,18.0625,9.17049789428711,1839400,False
2000-02-15,18.0,18.1875,17.8125,18.125,9.202232360839844,1273200,False
2000-02-16,17.5,18.0625,17.5,17.75,9.011839866638184,1630600,False
2000-02-17,17.9375,18.25,17.8125,18.0,9.138763427734375,4412100,False
2000-02-18,17.75,17.875,17.0,17.4375,8.853178024291992,1651200,False
2000-02-22,17.0625,18.0,17.0625,18.0,9.138763427734375,1411100,False
2000-02-23,17.9375,17.9375,17.5,17.8125,9.043573379516602,1358100,False
2000-02-24,17.625,17.6875,17.1875,17.5625,8.916643142700195,1248100,False
2000-02-25,17.625,17.9375,17.5625,17.75,9.011839866638184,1691300,False
2000-02-28,17.5625,17.625,17.125,17.5,8.884915351867676,1022400,False
